country,year,deaths,avg_deaths,excess_deaths,excess_deaths_prc
Germany,2011,834563.8571428572,917001.2857142857,-82437.42857142852,-8.989892365005247
Germany,2012,849134.8571428572,917001.2857142857,-67866.42857142852,-7.400908769562399
Germany,2013,877182.0,917001.2857142857,-39819.28571428568,-4.342336955751266
Germany,2014,849363.2857142857,917001.2857142857,-67638.0,-7.375998382304807
Germany,2015,916136.8571428572,917001.2857142857,-864.4285714285215,-0.09426688761457806
Germany,2016,896567.1428571428,917001.2857142857,-20434.14285714284,-2.228365780449909
Germany,2017,913363.5714285714,917001.2857142857,-3637.714285714319,-0.3966967486725791
Germany,2018,936905.8571428572,917001.2857142857,19904.57142857148,2.1706154330053185
Germany,2019,921168.5714285715,917001.2857142857,4167.285714285797,0.45444709611718226
Germany,2020,964955.2857142857,917001.2857142857,47954.0,5.229436506476311
Germany,2021,1011072.7142857143,917001.2857142857,94071.42857142864,10.2585928762524
Germany,2022,1038737.4285714286,917001.2857142857,121736.14285714296,13.275460433222646
Germany,2023,395785.5714285714,917001.2857142857,-521215.71428571426,-56.839147600509676
Greece,2015,119692.14285714286,119690.17857142858,1.96428571427532,0.0016411419363896059
Greece,2016,116704.85714285714,119690.17857142858,-2985.321428571435,-2.4942075149381266
Greece,2017,121929.57142857143,119690.17857142858,2239.392857142855,1.8709913243269434
Greece,2018,117696.0,119690.17857142858,-1994.1785714285797,-1.6661171327758493
Greece,2019,122430.28571428571,119690.17857142858,2740.1071428571304,2.2893333233870083
Greece,2020,129097.14285714286,119690.17857142858,9406.964285714275,7.859428733411403
Greece,2021,142020.85714285713,119690.17857142858,22330.67857142855,18.65706847291741
Greece,2022,137682.0,119690.17857142858,17991.82142857142,15.031994808023686
Greece,2023,42946.42857142857,119690.17857142858,-76743.75,-64.11866948147375
Hungary,2000,131850.57142857142,127298.32142857143,4552.249999999985,3.576048724691398
Hungary,2001,129225.0,127298.32142857143,1926.6785714285652,1.513514514415374
Hungary,2002,129908.28571428571,127298.32142857143,2609.9642857142753,2.0502739206806875
Hungary,2003,133044.7142857143,127298.32142857143,5746.392857142855,4.5141151844388006
Hungary,2004,131019.14285714286,127298.32142857143,3720.8214285714203,2.9229147618095
Hungary,2005,133752.42857142858,127298.32142857143,6454.107142857145,5.070064609201166
Hungary,2006,128925.0,127298.32142857143,1626.6785714285652,1.277847620592007
Hungary,2007,130168.57142857143,127298.32142857143,2870.25,2.254743006655065
Hungary,2008,127041.71428571429,127298.32142857143,-256.60714285714494,-0.20157936096677456
Hungary,2009,128776.85714285714,127298.32142857143,1478.5357142857101,1.1614730639754223
Hungary,2010,128993.14285714286,127298.32142857143,1694.8214285714203,1.3313776721890274
Hungary,2011,126133.71428571429,127298.32142857143,-1164.607142857145,-0.9148644929388322
Hungary,2012,126412.85714285714,127298.32142857143,-885.4642857142899,-0.6955820593527104
