year,month,deaths,country,date,avg_deaths,excess_deaths,excess_deaths_prc,what_if_deaths,what_if_deaths_difference,what_if_deaths_sparkline
2022,11,11059.0,Hungary,2022-11-01,10406.428571428572,652.5714285714275,6.27084906307913,135896,-96466,137600.3666085524
2022,12,10529.285714285714,Hungary,2022-12-01,9778.75,750.5357142857138,7.675170285422102,135896,-96466,137982.04988221545
2020,1,11799.714285714286,Netherlands,2020-01-01,11104.17142857143,695.5428571428565,6.263797903490574,148343,-84019,150201.381144795
2020,2,12964.571428571428,Netherlands,2020-02-01,13464.678571428572,-500.10714285714494,-3.7142152350992568,148343,-84019,147241.04433875936
2020,3,14733.428571428572,Netherlands,2020-03-01,14205.642857142857,527.7857142857156,3.71532439322403,148343,-84019,149445.28473292806
2020,4,19793.571428571428,Netherlands,2020-04-01,12228.571428571428,7565.0,61.86331775700935,148343,-84019,166696.98029205608
2020,5,13594.714285714286,Netherlands,2020-05-01,12221.642857142857,1373.0714285714294,11.234753335710076,148343,-84019,151676.19402815847
2020,6,11558.714285714286,Netherlands,2020-06-01,11366.392857142857,192.32142857142932,1.6920181361721185,148343,-84019,148844.99809274837
2020,7,11593.57142857143,Netherlands,2020-07-01,11887.392857142857,-293.82142857142753,-2.471706219374058,148343,-84019,147609.6793685988
2020,8,12527.42857142857,Netherlands,2020-08-01,11618.785714285714,908.6428571428568,7.820463166177924,148343,-84019,150663.22193492067
2020,9,11738.285714285714,Netherlands,2020-09-01,11294.428571428572,443.8571428571413,3.929876930471394,148343,-84019,149508.93946699385
2020,10,13853.42857142857,Netherlands,2020-10-01,12273.357142857143,1580.0714285714275,12.873995355793898,148343,-84019,152162.53418612908
2020,11,15170.0,Netherlands,2020-11-01,12351.714285714286,2818.2857142857138,22.816960051814664,148343,-84019,155112.47260993268
2020,12,16182.285714285714,Netherlands,2020-12-01,11508.071428571428,4674.214285714286,40.61683414746173,148343,-84019,160393.44605587382
2021,1,2239.714285714286,Netherlands,2021-01-01,11104.17142857143,-8864.457142857143,-79.82997380649742,148343,-84019,124658.56439124551
2021,1,15574.0,Netherlands,2021-01-01,11104.17142857143,4469.82857142857,40.2535983903089,148343,-84019,160285.6790920272
2021,2,13939.0,Netherlands,2021-02-01,13464.678571428572,474.32142857142753,3.5227088864781058,148343,-84019,149388.13840869363
2021,3,13800.0,Netherlands,2021-03-01,14205.642857142857,-405.6428571428569,-2.8555051061198,148343,-84019,147495.81161208573
2021,4,13498.142857142857,Netherlands,2021-04-01,12228.571428571428,1269.5714285714294,10.3820093457944,148343,-84019,151423.19682476635
2021,5,13138.714285714286,Netherlands,2021-05-01,12221.642857142857,917.0714285714294,7.50366738163563,148343,-84019,150569.23306078796
2021,6,12206.142857142857,Netherlands,2021-06-01,11366.392857142857,839.75,7.38800788037416,148343,-84019,150534.9185059967
2021,7,12578.857142857143,Netherlands,2021-07-01,11887.392857142857,691.4642857142862,5.816786691783316,148343,-84019,150068.7591764384
2021,8,12860.285714285714,Netherlands,2021-08-01,11618.785714285714,1241.5,10.685281840369353,148343,-84019,151513.1735280918
2021,9,12695.285714285714,Netherlands,2021-09-01,11294.428571428572,1400.8571428571413,12.40308116517624,148343,-84019,152022.82053857148
2021,10,14106.571428571428,Netherlands,2021-10-01,12273.357142857143,1833.2142857142844,14.93653500322998,148343,-84019,152774.4608239683
2021,11,16736.428571428572,Netherlands,2021-11-01,12351.714285714286,4384.714285714286,35.498831856769456,148343,-84019,158875.0064282575
2021,12,15794.142857142857,Netherlands,2021-12-01,11508.071428571428,4286.071428571429,37.244046104287065,148343,-84019,159392.7870624965
2022,1,13455.428571428572,Netherlands,2022-01-01,11104.17142857143,2351.2571428571428,21.17453929797296,148343,-84019,154625.18936615842
2022,2,13262.42857142857,Netherlands,2022-02-01,13464.678571428572,-202.25000000000185,-1.5020781887000778,148343,-84019,147897.35443050732
2022,3,15428.285714285714,Netherlands,2022-03-01,14205.642857142857,1222.6428571428569,8.606740782083577,148343,-84019,150896.49949567326
2022,4,14544.142857142857,Netherlands,2022-04-01,12228.571428571428,2315.5714285714294,18.93574766355141,148343,-84019,153960.97123130842
2022,5,13530.0,Netherlands,2022-05-01,12221.642857142857,1308.3571428571431,10.705247716287852,148343,-84019,151519.0971239546
2022,6,12977.714285714286,Netherlands,2022-06-01,11366.392857142857,1611.3214285714294,14.176189832809136,148343,-84019,152548.87705673682
2022,7,13711.0,Netherlands,2022-07-01,11887.392857142857,1823.6071428571431,15.34068205511842,148343,-84019,152894.36559620485
2022,8,13328.285714285714,Netherlands,2022-08-01,11618.785714285714,1709.5,14.713241487000731,148343,-84019,152708.2127638123
