location,date,weekly_cases,weekly_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,Daily hospital occupancy,Daily hospital occupancy per million,cum_excess_per_million_proj_all_ages,excess_per_million_proj_all_ages,estimated_daily_excess_deaths_by_economist,cumulative_estimated_daily_excess_deaths_by_economist,excess_deaths,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,All,Business & Utility Services,Grocery & Convenience Stores,Home Services,Lifestyle Services,Local Events,Manufacturing,Professional Services,Public Good,Restaurants,Retail,Travel,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
Belgium,2021-07-19,8768.142857142857,11.285714285714286,13267721.0,7864250.0,5718876.0,267.0,22.907,1372.5714,4.400841,17.434992,18286.459,67.25,1.7959999999999998,12.632857142857144,5.612142857142857,-19.204,75.91828571428572,-27.551285714285715,105.60464959360658,91.92079557505511,101.8717494071036,100.95980868165445,114.90950530705342,88.08410279508546,107.7348722176422,73.50562881213125,102.38507263634025,111.88865989642098,122.34500549511412,103.72020871527288,0.024817619047619043,0.19030238095238092
Belgium,2021-07-26,10114.714285714286,9.714285714285714,14072961.0,7998064.0,6401895.0,305.0,26.167,1381.2783,8.706948,-11.136436,18208.504,-169.75,2.5715714285714286,10.061142857142856,5.612142857142857,-20.367428571428572,128.75514285714286,-36.69385714285714,94.0966962940913,78.48732328877142,98.56628316286772,88.35739180311738,98.40798029803379,83.19952205790356,98.16313743964199,64.13375367113551,93.22061127720575,107.37488926803597,104.80329571575075,100.20025384289946,-0.09467523809523806,0.2028028571428571
Belgium,2021-08-02,10655.714285714286,18.857142857142858,14841264.0,8139220.0,7038008.0,365.0,31.315,1372.7609,-8.51748,2.7778492,18227.947,-35.5,2.0612857142857144,10.796000000000001,6.959142857142857,-23.08185714285714,91.38771428571428,-33.632714285714286,89.53497256537402,72.36237006573018,82.19243338677741,82.96041548746734,102.09733803848313,82.06638015164027,93.28597338358261,58.045780725528644,81.07823381945673,89.5294851361652,107.20960631705864,88.96911578056691,-0.10567619047619047,0.20275238095238093
Belgium,2021-08-09,11856.0,26.428571428571427,15419636.0,8289583.0,7476181.0,462.0,39.637,1372.6317,-0.12918322,6.0635633,18270.393,45.0,4.6938571428571425,12.836571428571428,6.367714285714285,-21.0,96.32657142857144,-30.428571428571427,91.89906438593822,74.90069609087597,89.22762352834097,87.13441316453226,107.46435705933459,86.48568676025323,97.23095041808973,62.29023769126892,78.26929066860457,90.51783898294882,108.8181523042471,89.31603440981526,-0.0016785714285714147,0.1914533333333333
Belgium,2021-08-16,12986.142857142857,23.428571428571427,15786243.0,8369362.0,7770391.0,550.0,47.186,1374.4833,1.851626,1.8064206,18283.037,-16.0,5.632714285714286,13.244857142857143,5.265428571428571,-17.93857142857143,113.77557142857142,-27.265428571428572,95.89072309203507,82.91090061652343,95.27079945164576,94.05086403596933,107.00353821906796,89.59850361584465,101.80058885879167,65.94828355068974,77.90024260961806,96.86504465799041,114.15974204867452,94.03187138626427,0.04941285714285715,0.179767619047619
Belgium,2021-08-23,13650.57142857143,29.0,16046768.0,8428504.0,7978064.0,652.0,55.937,1373.7684,-0.71481377,-1.8507223,18270.082,-77.5,3.8367142857142857,13.203999999999999,5.122428571428571,-16.653142857142857,101.755,-25.08142857142857,100.17040003367755,83.82499387703596,96.89046543315507,94.74304528209531,107.74084836349456,94.31824437604784,109.00341538099164,76.8038010876739,82.07257462744305,98.80400114618116,120.23710409272425,89.02834579043859,-0.0001233333333333297,0.19198142857142853
Belgium,2021-08-30,13992.42857142857,43.285714285714285,16288754.0,8478916.0,8175453.0,677.0,58.082,1370.8489,-2.9195406,10.549277,18343.928,48.75,6.3061428571428575,14.040714285714285,4.449142857142857,-14.979571428571429,99.24471428571428,-20.449,104.84025789904456,89.96157140743632,96.86925255050049,98.6098238623127,110.91792526121094,102.12527838250382,109.56561064656695,85.43095642064418,88.68665858271346,97.58049822494421,125.40670990953097,86.71555492878296,0.03528380952380949,0.1808571428571428
Belgium,2021-09-06,14127.0,36.42857142857143,16431102.0,8526436.0,8276189.0,725.0,62.2,1375.4048,4.5558615,27.40642,18535.773,145.75,11.367285714285714,20.285571428571426,3.734714285714286,-6.755142857142857,86.95928571428571,-17.203857142857142,114.17330782683442,96.00092745810586,109.88522778403181,106.51816885097136,115.58599672129253,108.77843255010885,114.85120716052292,109.79979392325424,98.61289084096354,113.65068603652209,130.03563210147152,90.50345508390919,0.10185333333333328,0.15840380952380947
Belgium,2021-09-13,13678.857142857143,52.285714285714285,16531203.0,8566143.0,8341293.0,709.0,60.827,1390.1232,14.718273,8.3492775,18594.217,43.75,9.673714285714285,20.571428571428573,1.8569999999999998,1.5511428571428572,102.73471428571429,-14.46942857142857,116.02098508041902,101.50028159418363,111.00451929821814,109.82734208961551,120.87675841121663,108.00634336761505,115.71131786597573,106.90073795201265,103.10506450991019,109.68408046919585,133.72881203442756,91.21139472570864,0.09185761904761902,0.1610995238095238
Belgium,2021-09-20,14201.42857142857,47.714285714285715,16628276.0,8598698.0,8393821.0,727.0,62.372,1393.3527,3.2295802,4.292135,18624.262,-7.5,5.979571428571428,17.632571428571428,2.040857142857143,1.0614285714285714,81.16314285714286,-15.306142857142857,118.71318253479028,109.46610240082353,115.35690369228939,108.00761850375059,126.55769564711268,107.67134599504541,113.89979978801082,110.1016953065077,107.23840277055923,108.64387556924457,137.91158481337285,92.02369200394867,0.08992666666666661,0.16020523809523807
Belgium,2021-09-27,14045.0,47.857142857142854,16778826.0,8634808.0,8451649.0,700.0,60.055,1394.1364,0.7837115,8.463563,18683.508,37.5,4.591857142857143,16.163285714285713,2.1224285714285713,0.02057142857142859,83.59185714285715,-13.367428571428572,121.32228890385065,111.06074601945177,120.28203591803458,107.69342934013336,128.19184814361145,105.74537697370069,113.11657048639736,118.9839283222268,111.106212113296,111.74993558750748,140.1921209813309,96.49978846425047,0.0723180952380952,0.16681047619047615
Belgium,2021-10-04,13469.142857142857,59.0,16950338.0,8668081.0,8500781.0,734.0,62.972,1397.4348,3.298478,16.120707,18796.352,86.0,1.7347142857142859,15.714142857142857,2.8978571428571427,-6.265142857142856,51.83671428571428,-13.224571428571428,125.32621453897669,112.7769164877435,134.33993803489435,110.21176807991165,133.78202512061236,105.97243074844232,113.60188434813332,118.81402518039583,111.14938377302647,116.64940527805194,147.92163515505004,93.3690593710337,0.04624190476190471,0.17416999999999996
Belgium,2021-10-11,13918.42857142857,62.285714285714285,17148272.0,8693811.0,8534682.0,748.0,64.173,1405.3495,7.9146247,32.692135,19025.197,200.75,0.26528571428571424,14.163142857142857,3.2448571428571427,-9.857142857142858,33.347,-12.959142857142856,125.5854864993256,111.95370417567499,128.89321845917155,107.65589821137362,139.70202674978376,105.39123689412709,113.80369803321163,121.91063257376634,115.39506119125382,116.49021344815124,146.38126444285976,90.99421802284586,0.07267523809523806,0.16751428571428567
Belgium,2021-10-18,18524.14285714286,75.71428571428571,17337147.0,8719091.0,8569439.0,919.0,78.844,1423.2543,17.904793,51.120705,19383.043,343.5,1.4081428571428571,14.57157142857143,2.9795714285714285,-7.3061428571428575,46.510285714285715,-11.306285714285716,124.22519979573451,112.63953830986301,124.07290283007258,107.44465157235456,139.59629572653478,104.89884393063585,123.0246614061948,114.10088526960483,113.75685917846963,114.49940590679277,146.092455103667,92.6949654491609,0.05757999999999997,0.17120142857142853
Belgium,2021-10-25,31303.285714285714,96.14285714285714,17495146.0,8743733.0,8599917.0,1302.0,111.703,1452.2689,29.01455,51.863564,19746.088,346.75,0.204,14.571428571428571,3.7142857142857144,-9.551142857142858,41.61214285714285,-11.102142857142857,125.26339860428759,113.58110720595165,123.3766211523513,106.62432832946317,138.93617858580768,105.73952781322724,113.14059592509716,117.66483778801167,114.10083982212875,118.98042850159823,147.3277455279776,91.32139331547032,0.0422985714285714,0.17678428571428567
Belgium,2021-11-01,48190.142857142855,133.71428571428572,17650515.0,8770171.0,8628961.0,1698.0,145.677,1481.7312,29.462385,45.777847,20066.531,320.5,2.040857142857143,16.204,3.8774285714285712,-9.857142857142858,44.918285714285716,-12.754857142857142,127.78006324779594,114.45715727874344,136.12182017787993,110.28361338353743,139.11208506696528,111.0830017766434,111.00233188081498,123.21902054786615,113.18355810570439,124.95103179047467,147.1189892563245,96.56747990410379,0.023996190476190424,0.19005761904761903
Belgium,2021-11-08,53270.42857142857,149.42857142857142,17802740.0,8799169.0,8655180.0,2078.0,178.278,1507.5248,25.793581,57.606422,20469.777,361.5,0.8571428571428571,12.714285714285714,6.979571428571428,-19.91842857142857,43.36728571428572,-31.06114285714286,116.10310406946725,93.6602146580651,123.81335697171052,99.81189230058881,129.3665853090018,105.73952781322724,105.77920150747852,89.5376179248995,97.68493226245529,123.24858887813639,139.37157703904978,92.11394725708644,-0.016901428571428557,0.19767523809523807
